candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A2_cross_subject_positive_only,EMG,arousal,1,0.5482918089150384,0.5591743270402952,0.5482954545454546,1.0,352,0.5482954545454546,11,0.5482954545454546,0.12987647103025524,0.34375,2
A2_cross_subject_positive_only,EMG,arousal,2,0.5627980922098569,0.5632533072023518,0.5738636363636364,1.0,352,0.5738636363636364,11,0.5738636363636364,0.07163373538671947,0.5,0
A2_cross_subject_positive_only,EMG,arousal,3,0.4888044700071382,0.4994833209545645,0.4971590909090909,1.0,352,0.4971590909090909,11,0.4971590909090909,0.0820329409998868,0.375,4
A2_cross_subject_positive_only,EMG,arousal,4,0.4541176470588235,0.454384236453202,0.45625,1.0,320,0.45625,10,0.45625,0.12165667767213695,0.1875,5
A2_cross_subject_positive_only,EMG,arousal,5,0.502440560541647,0.5137254901960784,0.50625,1.0,320,0.50625,10,0.50625,0.1449377260910507,0.28125,3
A2_cross_subject_positive_only,EMG,arousal,6,0.4974989340571345,0.4975575426395099,0.528125,1.0,320,0.528125,10,0.528125,0.10566628877429797,0.34375,3
A4_rating_distance_guarded_supcon,EEG,valence,1,0.5149096627465569,0.5170999308095285,0.5369318181818182,1.0,352,0.5369318181818182,11,0.5369318181818182,0.09356041436613903,0.375,2
A4_rating_distance_guarded_supcon,EEG,valence,2,0.530791788856305,0.5399443561208267,0.53125,1.0,352,0.53125,11,0.53125,0.08615030470056388,0.4375,1
A4_rating_distance_guarded_supcon,EEG,valence,3,0.4744051676567014,0.4816308695506033,0.4772727272727273,1.0,352,0.4772727272727273,11,0.4772727272727273,0.07792588261815314,0.375,4
A4_rating_distance_guarded_supcon,EEG,valence,4,0.535063009636768,0.5390688259109312,0.540625,1.0,320,0.540625,10,0.540625,0.09322771181360186,0.375,1
A4_rating_distance_guarded_supcon,EEG,valence,5,0.4848761874478318,0.4909257028946384,0.49375,1.0,320,0.49375,10,0.49375,0.10499669306961794,0.34375,4
A4_rating_distance_guarded_supcon,EEG,valence,6,0.5222169135212613,0.5291747996179244,0.53125,1.0,320,0.53125,10,0.53125,0.11023963796102462,0.34375,2
A4_rating_distance_guarded_supcon,EEG,arousal,1,0.5093536791137847,0.5103785707225462,0.5142045454545454,1.0,352,0.5142045454545454,11,0.5142045454545454,0.0770090756162722,0.4375,3
A4_rating_distance_guarded_supcon,EEG,arousal,2,0.5368421052631579,0.5374489629266699,0.5397727272727273,1.0,352,0.5397727272727273,11,0.5397727272727273,0.08511356050488185,0.40625,1
A4_rating_distance_guarded_supcon,EEG,arousal,3,0.5456220824030851,0.5471469628959861,0.5482954545454546,1.0,352,0.5482954545454546,11,0.5482954545454546,0.1049215074580647,0.40625,2
A4_rating_distance_guarded_supcon,EEG,arousal,4,0.4932551319648093,0.4951724137931034,0.49375,1.0,320,0.49375,10,0.49375,0.17292921641205944,0.28125,5
A4_rating_distance_guarded_supcon,EEG,arousal,5,0.5566691230655858,0.5566666666666666,0.559375,1.0,320,0.559375,10,0.559375,0.10359216575376515,0.40625,3
