target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
valence,8,stimulus_plus_fewshot_bias,discard_midpoint,8618,0.9475516361104664,0.9475387498696559,0.9475471161320057,0.9783666130640448,4274,4344,0.5040612671153399,0.5052216291482943,-0.004525411928521739,-0.004504031399761077,-0.004523085431259455,0.00045674259796912864
valence,8,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,9600,0.8797916666666666,0.8861064860364792,0.8797539593036445,0.947711866960429,5256,4344,0.4525,0.5297916666666667,-0.001979166666666643,-0.0021270087540049554,-0.0019852441428154233,0.005268008183578976
valence,8,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,9600,0.9279166666666666,0.9297903065474972,0.9273946613829612,0.9703717479925164,4274,5326,0.5547916666666667,0.53,-0.001979166666666754,-0.0018761319743988425,-0.00197958281142685,0.00033652818015506014
valence,8,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,8618,0.949872360176375,0.9498502013545435,0.9498668925772682,0.9788626204443157,4274,4344,0.5040612671153399,0.5063819911812486,-0.002204687862613186,-0.002192579914873538,-0.0022033089859969657,0.0009527499782400195
valence,16,stimulus_only,midpoint_as_low,6400,0.88046875,0.886799744223645,0.88042741046288,0.942204271402051,3506,2894,0.4521875,0.52921875,0.0,0.0,0.0,0.0
valence,16,stimulus_only,midpoint_as_high,6400,0.9246875,0.9264160729866169,0.9241713915336258,0.9678923328472472,2859,3541,0.55328125,0.52921875,0.0,0.0,0.0,0.0
valence,16,stimulus_only,discard_midpoint,5753,0.9478532939335998,0.9478217527646422,0.9478470397400782,0.9767198746523122,2859,2894,0.5030418911872067,0.5079089170867374,0.0,0.0,0.0,0.0
valence,16,stimulus_plus_fewshot_bias,midpoint_as_low,6400,0.8790625,0.885214644379011,0.8790125808744331,0.9492477305170601,3506,2894,0.4521875,0.5275,-0.0014062500000000533,-0.0015850998446340636,-0.0014148295884468531,0.007043459115009143
valence,16,stimulus_plus_fewshot_bias,midpoint_as_high,6400,0.923125,0.9249703592128544,0.9226141323581456,0.9679749111961721,2859,3541,0.55328125,0.52796875,-0.0015625000000000222,-0.0014457137737624581,-0.001557259175480219,8.25783489248888e-05
valence,16,stimulus_plus_fewshot_bias,discard_midpoint,5753,0.9461150703980532,0.9460940402560036,0.9461104967033498,0.9775949710089962,2859,2894,0.5030418911872067,0.5061706935511907,-0.0017382235355466458,-0.001727712508638568,-0.001736543036728433,0.0008750963566839243
valence,16,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,6400,0.87921875,0.8853874156298749,0.8791696597243035,0.9488187098353656,3506,2894,0.4521875,0.52765625,-0.0012499999999999734,-0.0014123285937701624,-0.0012577507385764797,0.006614438433314662
